component,coef
PC1,0.1173475532741273
PC2,-0.5857076451567541
PC3,1.8110571036566243
PC4,-0.14836525505643233
PC5,-0.5551283388857196
PC6,1.044418550125576
PC7,1.8135161046157164
PC8,6.222823708782784
PC9,6.757810265033122
PC10,2.7801008406133527
PC11,-0.7935230219890909
PC12,-0.333028710322114
PC13,-1.8720892086880419
PC14,-2.574707240533005
PC15,0.09219817351351219
PC16,0.1422759315995281
PC17,0.7308497786893592
PC18,1.2537760710550128
PC19,1.9745942910356946
PC20,-0.5068169070593952
PC21,-1.3903494039153872
PC22,0.004576541547694945
PC23,-0.09902751802398582
PC24,-0.33423938075529874
PC25,0.6651062047235632
PC26,0.09186357212412061
PC27,0.19248479772144725
PC28,-0.26982977319604
PC29,0.10400459307788978
PC30,0.32357441627754674
PC31,0.0594850874677749
PC32,-0.1444833368327591
PC33,0.16207656430683887
PC34,-0.053550531468523205
PC35,0.2189618177448376
PC36,0.17672515056471533
PC37,-0.5176541720585298
PC38,-1.8690688720307826
PC39,0.4139894244458505
PC40,-0.1927749413785877
PC41,-0.1780987534769583
PC42,0.2076943705836964
PC43,0.13901120074033027
PC44,-0.23272531812767755
PC45,0.16368156160051192
PC46,-0.1349706237514854
PC47,0.05192432357139745
PC48,-0.14916056329394506
PC49,0.02875432703255507
PC50,0.04678265337522603
