feature,abs_pointbiserial_corr
last_fico_range_high,0.6095477994511272
last_fico_range_low,0.5563232270528605
recoveries,0.4881739212605759
collection_recovery_fee,0.463734911241614
debt_settlement_flag,0.3148782088498993
sub_grade,0.23373947532374376
total_rec_prncp,0.23345386676027224
grade,0.229600140237683
int_rate,0.21174392705298054
last_pymnt_amnt,0.19263196802329435
out_prncp,0.15729954157028495
out_prncp_inv,0.15728450642709257
total_pymnt,0.14553144105608776
total_pymnt_inv,0.1453724921185985
total_rec_late_fee,0.14455920682113776
fico_range_low,0.1220634255416344
fico_range_high,0.12206179209521932
issue_year,0.11251380439992617
verification_status,0.09542366197903751
acc_open_past_24mths,0.09412557489592632
term,0.09327393465582376
num_tl_op_past_12m,0.08295293656737361
bc_open_to_buy,0.08098652099018117
inq_last_6mths,0.0807707352867976
y_unemployment_rate,0.0797308644570083
total_bc_limit,0.07470614142205423
percent_bc_gt_75,0.07151550719231857
bc_util,0.06905501114310686
revol_util,0.06271303700133368
tot_hi_cred_lim,0.06243234065683004
disbursement_method,0.057517072474176326
avg_cur_bal,0.05683605210898325
total_rev_hi_lim,0.05649488458575998
mo_sin_rcnt_tl,0.05476515746593407
mo_sin_rcnt_rev_tl_op,0.05414507048813184
mths_since_recent_inq,0.05303637019929136
tot_cur_bal,0.052681414935433504
all_util,0.05245099172360597
home_ownership,0.05181832258689454
open_acc_6m,0.05162712736162038
total_rec_int,0.050325824081088676
num_actv_rev_tl,0.05030602123798565
num_rev_tl_bal_gt_0,0.04908419364039272
hardship_flag,0.04851511783254502
mths_since_recent_bc,0.0470051934319238
il_util,0.04306890197627915
pymnt_plan,0.0418769709306967
max_bal_bc,0.04149298039071818
mort_acc,0.04020134773057676
open_rv_24m,0.040128781038166195
mths_since_rcnt_il,0.038718608314045444
mo_sin_old_rev_tl_op,0.038160802297003436
dti,0.037331923297308806
open_rv_12m,0.035540686219662984
installment,0.03538373404702528
application_type,0.03490686334590889
pub_rec,0.03266140196851687
inq_fi,0.03209045091612467
loan_amnt,0.02999220003956365
funded_amnt,0.0299201442041626
funded_amnt_inv,0.029684982850407278
inq_last_12m,0.02749053881484161
pub_rec_bankruptcies,0.026606100310421207
total_cu_tl,0.02577892215020504
num_op_rev_tl,0.023585051176359402
annual_inc,0.02335454303621805
num_actv_bc_tl,0.023165531260384526
revol_bal,0.022109524546038116
delinq_2yrs,0.02163072004448222
open_il_24m,0.020793269018038196
mo_sin_old_il_acct,0.019131559590252867
open_acc,0.01816581102171513
num_sats,0.018144398305310915
num_rev_accts,0.01757635455267069
purpose,0.014916115319138439
total_bal_il,0.013992057014886462
tax_liens,0.013907716813291985
total_acc,0.012206025462801005
num_tl_90g_dpd_24m,0.01184723463372705
open_act_il,0.01139132291720717
num_il_tl,0.011237866443736278
num_accts_ever_120_pd,0.011074449941487586
total_il_high_credit_limit,0.010753959142064009
collections_12_mths_ex_med,0.010427367365188456
total_bal_ex_mort,0.010365342450645253
num_bc_tl,0.009671868520372474
pct_tl_nvr_dlq,0.009544738620573812
emp_length,0.008924484207375705
acc_now_delinq,0.0074769719948636956
num_tl_30dpd,0.005810629508083989
chargeoff_within_12_mths,0.005250234781760813
num_bc_sats,0.004992638850455884
delinq_amnt,0.003614417158177483
addr_state,0.002974279600219997
num_tl_120dpd_2m,0.0024358448976119005
open_il_12m,0.0009794399076982555
tot_coll_amt,0.00023670514887162952
